id,total_bill_usd,unix timestamp
30,12,1362439000
30,13,1362439000
30,9,1362439000
30,4,1362525000
30,10,1362612000
30,10,1362698000
30,8,1362353000
30,11,1362785000
30,8,1362353000
30,12,1362698000
30,9,1362612000
30,10,1362266000
30,12,1362353000
30,12,1362353000
30,4,1362439000
30,7,1362612000
30,4,1362612000
30,12,1362353000
30,14,1362353000
30,5,1362698000
30,7,1362785000
30,9,1362525000
30,14,1362785000
30,15,1362612000
30,13,1362612000
30,8,1362266000
30,10,1362439000
30,12,1362525000
30,9,1362439000
30,6,1362785000
30,6,1362698000
30,9,1362353000
30,11,1362353000
30,9,1362439000
30,4,1362785000
30,12,1362439000
30,8,1362698000
30,13,1362525000
30,11,1362266000
30,8,1362439000
30,12,1362612000
30,5,1362439000
30,12,1362439000
30,8,1362353000
30,7,1362698000
30,9,1362525000
30,10,1362785000
30,11,1362612000
30,13,1362698000
30,10,1362439000
30,14,1362266000
30,11,1362353000
30,14,1362439000
30,6,1362698000
30,17,1362266000
30,8,1362353000
30,8,1362525000
30,8,1362353000
30,11,1362266000
30,4,1362266000
30,10,1362525000
30,7,1362785000
30,10,1362353000
30,8,1362525000
30,13,1362612000
30,14,1362353000
30,10,1362698000
30,7,1362353000
30,11,1362698000
30,13,1362785000
30,6,1362353000
30,10,1362353000
30,9,1362698000
30,7,1362612000
30,12,1362353000
30,10,1362353000
30,12,1362353000
30,9,1362439000
30,14,1362525000
30,9,1362266000
30,6,1362525000
30,6,1362439000
30,11,1362698000
30,9,1362353000
30,13,1362785000
30,8,1362353000
30,15,1362525000
30,11,1362353000
30,5,1362612000
30,12,1362266000
30,10,1362439000
30,7,1362612000
30,12,1362612000
30,13,1362439000
30,15,1362266000
30,15,1362612000
30,12,1362785000
30,4,1362439000
30,5,1362266000
30,11,1362266000
30,10,1362353000
30,4,1362266000
30,9,1362525000
30,14,1362785000
30,6,1362698000
30,12,1362871000
30,10,1363044000
30,7,1363217000
30,9,1363303000
30,8,1363217000
30,12,1363044000
30,14,1362957000
30,9,1363389000
30,12,1362957000
30,12,1363130000
30,12,1362871000
30,13,1363217000
30,12,1363389000
30,8,1363044000
30,8,1363044000
30,13,1363303000
30,6,1363389000
30,9,1363044000
30,8,1363130000
30,7,1363217000
30,7,1362871000
30,4,1363389000
30,9,1362957000
30,6,1362871000
30,9,1363130000
30,8,1363044000
30,14,1363044000
30,7,1362957000
30,11,1363303000
30,12,1362957000
30,14,1363044000
30,7,1362957000
30,8,1363217000
30,12,1362871000
30,7,1363044000
30,7,1362957000
30,6,1363044000
30,8,1363303000
30,9,1363303000
30,11,1362871000
30,4,1363130000
30,8,1363389000
30,15,1363130000
30,10,1363130000
30,11,1363217000
30,12,1363389000
30,7,1363044000
30,10,1363217000
30,9,1363044000
30,8,1362957000
30,14,1362957000
30,4,1363303000
30,8,1363217000
30,8,1363217000
30,11,1362957000
30,13,1363044000
30,15,1363389000
30,10,1363044000
30,12,1362871000
30,7,1363303000
30,13,1363389000
30,9,1363389000
30,15,1362957000
30,5,1363130000
30,15,1363130000
30,9,1362957000
30,9,1363389000
30,8,1363389000
30,11,1363130000
30,8,1362957000
30,9,1363389000
30,9,1363130000
30,14,1362957000
30,8,1363130000
30,8,1363217000
30,14,1363303000
30,12,1363130000
30,11,1363130000
30,9,1363044000
30,9,1363130000
30,6,1363130000
30,9,1363044000
30,11,1363389000
30,12,1363217000
30,7,1363389000
30,7,1362957000
30,9,1363217000
30,10,1362871000
30,9,1363303000
30,9,1363217000
30,11,1363908000
30,8,1363908000
30,10,1363908000
30,16,1363562000
30,8,1363821000
30,7,1363649000
30,10,1363735000
30,16,1363562000
30,16,1363562000
30,11,1363735000
30,12,1363821000
30,4,1363476000
30,15,1363994000
30,16,1363562000
30,8,1363476000
30,6,1363649000
30,11,1363994000
30,10,1363908000
30,16,1363562000
30,15,1363908000
30,7,1363994000
30,14,1363994000
30,10,1363735000
30,10,1363908000
30,9,1363735000
30,12,1363476000
30,9,1363735000
30,4,1363908000
30,8,1363994000
30,9,1363994000
30,16,1363562000
30,10,1363649000
30,9,1363735000
30,11,1363908000
30,7,1363908000
30,16,1363994000
30,9,1363649000
30,11,1363735000
30,4,1363476000
30,16,1363562000
30,16,1363562000
30,6,1363994000
30,9,1363994000
30,12,1363821000
30,9,1363649000
30,7,1363908000
30,16,1363562000
30,13,1363735000
30,8,1363649000
30,9,1363476000
30,13,1363476000
30,13,1363994000
30,5,1363649000
30,10,1363735000
30,10,1363821000
30,10,1363908000
30,14,1363649000
30,9,1363476000
30,15,1363476000
30,7,1363821000
30,9,1363735000
30,9,1363994000
30,4,1363994000
30,13,1363908000
30,16,1363562000
30,7,1363908000
30,9,1363908000
30,6,1363649000
30,8,1363821000
30,13,1363994000
30,9,1363649000
30,10,1363908000
30,14,1363994000
30,10,1363735000
30,10,1363908000
30,10,1363735000
30,11,1363476000
30,10,1363821000
30,16,1363562000
30,16,1363562000
30,11,1363735000
30,11,1363476000
30,9,1363735000
30,10,1363735000
30,5,1363908000
30,11,1363994000
30,16,1363562000
30,5,1363735000
30,6,1363821000
30,12,1363908000
30,5,1363994000
30,13,1363476000
30,4,1363821000
30,11,1363821000
30,14,1363649000
30,15,1363649000
30,11,1363821000
30,10,1363994000
30,8,1363908000
30,10,1363994000
30,8,1363735000
30,9,1363735000
30,12,1363821000
30,7,1363821000
30,10,1364167000
30,5,1364167000
30,11,1364599000
30,6,1364081000
30,9,1364081000
30,7,1364599000
30,12,1364599000
30,14,1364167000
30,9,1364599000
30,10,1364513000
30,11,1364513000
30,9,1364340000
30,8,1364599000
30,10,1364253000
30,8,1364081000
30,12,1364081000
30,8,1364599000
30,7,1364599000
30,18,1364253000
30,6,1364340000
30,5,1364340000
30,9,1364340000
30,9,1364253000
30,12,1364513000
30,10,1364426000
30,15,1364513000
30,13,1364081000
30,11,1364426000
30,15,1364599000
30,7,1364340000
30,11,1364167000
30,11,1364253000
30,7,1364340000
30,10,1364253000
30,11,1364340000
30,9,1364513000
30,11,1364167000
30,11,1364340000
30,8,1364081000
30,9,1364513000
30,11,1364599000
30,5,1364253000
30,6,1364513000
30,8,1364599000
30,11,1364513000
30,13,1364513000
30,6,1364340000
30,11,1364599000
30,12,1364513000
30,6,1364599000
30,11,1364167000
30,14,1364253000
30,6,1364513000
30,6,1364340000
30,11,1364081000
30,8,1364340000
30,7,1364340000
30,12,1364167000
30,12,1364253000
30,10,1364513000
30,8,1364081000
30,7,1364253000
30,14,1364513000
30,15,1364599000
30,4,1364253000
30,10,1365117000
30,8,1364772000
30,8,1364772000
30,7,1365204000
30,8,1365204000
30,13,1364772000
30,6,1364945000
30,10,1365204000
30,5,1364858000
30,5,1364945000
30,10,1364772000
30,7,1364772000
30,16,1364945000
30,13,1364858000
30,13,1365204000
30,13,1364772000
30,7,1365117000
30,7,1365117000
30,12,1364772000
30,9,1364945000
30,9,1365117000
30,11,1365031000
30,15,1365031000
30,16,1365031000
30,9,1365031000
30,12,1364772000
30,11,1364685000
30,7,1365031000
